"Date","Price","Open","High","Low","Vol.","Change %"
"12/05/2025","321.27","319.49","323.16","319.17","28.85M","1.15%"
"12/04/2025","317.62","322.23","322.36","314.70","31.24M","-0.63%"
"12/03/2025","319.63","315.89","321.58","314.10","41.84M","1.21%"
"12/02/2025","315.81","316.74","318.38","313.91","35.85M","0.29%"
"12/01/2025","314.89","317.70","319.85","313.89","41.18M","-1.65%"
"11/28/2025","320.18","323.36","326.85","316.79","26.02M","0.07%"
"11/26/2025","319.95","320.68","324.50","316.79","51.37M","-1.08%"
"11/25/2025","323.44","326.21","328.83","317.65","88.63M","1.53%"
"11/24/2025","318.58","311.13","319.48","309.60","85.17M","6.31%"
"11/21/2025","299.66","296.42","303.92","293.85","74.14M","3.53%"
"11/20/2025","289.45","304.54","306.42","288.67","62.03M","-1.15%"
"11/19/2025","292.81","287.16","303.81","286.63","68.20M","3.00%"
"11/18/2025","284.28","287.92","288.80","278.20","49.16M","-0.26%"
"11/17/2025","285.02","285.77","293.95","283.57","52.67M","3.11%"
"11/14/2025","276.41","271.40","278.56","270.70","31.65M","-0.78%"
"11/13/2025","278.57","282.34","282.84","277.24","29.49M","-2.84%"
"11/12/2025","286.71","291.67","292.01","283.69","24.83M","-1.58%"
"11/11/2025","291.31","287.74","291.92","287.32","19.84M","0.42%"
"11/10/2025","290.10","284.42","290.80","282.86","29.56M","4.04%"
"11/07/2025","278.83","283.20","283.78","275.19","34.48M","-2.08%"
"11/06/2025","284.75","285.33","288.35","281.14","37.17M","0.15%"
"11/05/2025","284.31","278.87","286.42","277.34","31.01M","2.44%"
"11/04/2025","277.54","276.75","281.27","276.26","30.08M","-2.18%"
"11/03/2025","283.72","282.17","285.53","279.80","29.79M","0.90%"
"10/31/2025","281.19","283.21","286.00","277.03","39.27M","-0.10%"
"10/30/2025","281.48","291.59","291.59","280.06","74.88M","2.52%"
"10/29/2025","274.57","267.75","275.34","267.67","43.58M","2.65%"
"10/28/2025","267.47","269.69","270.73","266.50","29.74M","-0.67%"
"10/27/2025","269.27","264.82","270.14","264.28","35.24M","3.60%"
"10/24/2025","259.92","256.58","261.68","255.32","28.66M","2.70%"
"10/23/2025","253.08","252.98","255.04","251.85","19.90M","0.55%"
"10/22/2025","251.69","254.37","256.36","249.29","35.03M","0.49%"
"10/21/2025","250.46","254.74","254.88","244.15","47.31M","-2.37%"
"10/20/2025","256.55","254.69","257.33","254.23","22.35M","1.28%"
"10/17/2025","253.30","250.76","254.22","247.81","29.67M","0.73%"
"10/16/2025","251.46","251.76","256.96","250.10","28.00M","0.17%"
"10/15/2025","251.03","247.24","252.11","245.99","27.01M","2.27%"
"10/14/2025","245.45","241.23","247.12","240.51","22.11M","0.53%"
"10/13/2025","244.15","240.21","244.50","239.71","25.00M","3.20%"
"10/10/2025","236.57","241.43","244.09","235.84","33.18M","-2.05%"
"10/09/2025","241.53","244.47","244.76","239.15","27.89M","-1.26%"
"10/08/2025","244.62","244.96","246.01","243.82","21.31M","-0.46%"
"10/07/2025","245.76","248.27","250.44","245.52","23.18M","-1.86%"
