"Date","Price","Open","High","Low","Vol.","Change %"
"12/05/2025","278.78","280.54","281.14","278.05","47.27M","-0.68%"
"12/04/2025","280.70","284.10","284.73","278.59","43.99M","-1.21%"
"12/03/2025","284.15","286.20","288.62","283.30","43.54M","-0.71%"
"12/02/2025","286.19","283.00","287.40","282.63","53.67M","1.09%"
"12/01/2025","283.10","278.01","283.42","276.14","46.59M","1.52%"
"11/28/2025","278.85","277.26","279.00","275.99","20.14M","0.47%"
"11/26/2025","277.55","276.96","279.53","276.63","33.43M","0.21%"
"11/25/2025","276.97","275.27","280.38","275.25","46.91M","0.38%"
"11/24/2025","275.92","270.90","277.00","270.90","65.59M","1.63%"
"11/21/2025","271.49","265.95","273.33","265.67","59.03M","1.97%"
"11/20/2025","266.25","270.83","275.43","265.92","45.82M","-0.86%"
"11/19/2025","268.56","265.52","272.21","265.50","40.42M","0.42%"
"11/18/2025","267.44","269.99","270.71","265.32","45.68M","-0.01%"
"11/17/2025","267.46","268.82","270.49","265.73","45.02M","-1.82%"
"11/14/2025","272.41","271.05","275.96","269.60","47.43M","-0.20%"
"11/13/2025","272.95","274.11","276.70","272.09","49.60M","-0.19%"
"11/12/2025","273.47","275.00","275.73","271.70","48.40M","-0.65%"
"11/11/2025","275.25","269.81","275.91","269.80","46.21M","2.16%"
"11/10/2025","269.43","268.96","273.73","267.45","41.31M","0.36%"
"11/07/2025","268.47","269.80","272.29","266.77","48.23M","-0.48%"
