"Date","Price","Open","High","Low","Vol.","Change %"
"12/05/2025","673.42","664.00","674.69","662.39","21.21M","1.80%"
"12/04/2025","661.53","676.00","676.10","660.05","29.87M","3.43%"
"12/03/2025","639.60","644.41","648.85","637.55","11.13M","-1.16%"
"12/02/2025","647.10","642.34","647.87","638.07","11.64M","0.97%"
"12/01/2025","640.87","639.55","645.32","637.76","13.03M","-1.09%"
"11/28/2025","647.95","636.08","648.05","635.50","11.03M","2.26%"
"11/26/2025","633.61","637.69","638.36","631.63","15.21M","-0.41%"
"11/25/2025","636.22","624.00","637.04","618.30","25.21M","3.78%"
"11/24/2025","613.05","598.72","616.70","597.63","23.55M","3.16%"
"11/21/2025","594.25","588.50","598.12","581.86","21.05M","0.87%"
"11/20/2025","589.15","603.50","606.72","583.35","20.60M","-0.20%"
"11/19/2025","590.32","593.72","595.33","581.25","24.74M","-1.23%"
"11/18/2025","597.69","591.60","603.66","583.78","25.50M","-0.72%"
"11/17/2025","602.01","609.03","611.69","595.40","16.50M","-1.22%"
"11/14/2025","609.46","601.79","613.68","595.20","20.72M","-0.07%"
"11/13/2025","609.89","613.07","617.65","603.00","20.97M","0.14%"
"11/12/2025","609.01","628.13","628.99","607.77","24.49M","-2.88%"
"11/11/2025","627.08","628.00","629.56","619.39","13.30M","-0.74%"
"11/10/2025","631.76","631.09","635.00","618.10","19.25M","1.62%"
"11/07/2025","621.71","616.48","622.13","601.20","29.95M","0.45%"
"11/06/2025","618.94","635.85","636.00","618.00","23.63M","-2.67%"
"11/05/2025","635.95","632.31","642.23","626.54","20.22M","1.38%"
"11/04/2025","627.32","628.03","641.74","626.01","27.36M","-1.63%"
"11/03/2025","637.71","656.00","659.33","636.18","33.00M","-1.64%"
"10/31/2025","648.35","674.51","674.89","645.57","56.95M","-2.72%"
"10/30/2025","666.47","669.15","680.96","650.17","88.44M","-11.33%"
"10/29/2025","751.67","754.75","759.16","742.51","26.82M","0.03%"
"10/28/2025","751.44","752.63","758.40","745.52","12.19M","0.08%"
"10/27/2025","750.82","749.73","755.75","748.01","11.32M","1.69%"
"10/24/2025","738.36","736.79","741.21","731.15","9.15M","0.59%"
"10/23/2025","734.00","734.70","742.41","733.10","9.86M","0.08%"
"10/22/2025","733.41","733.83","740.60","724.03","8.73M","0.02%"
"10/21/2025","733.27","736.02","738.50","728.75","7.65M","0.15%"
"10/20/2025","732.17","721.19","733.77","720.18","8.90M","2.13%"
"10/17/2025","716.91","707.08","718.54","706.12","12.23M","0.68%"
"10/16/2025","712.07","717.55","725.49","703.88","9.02M","-0.76%"
"10/15/2025","717.55","717.06","723.90","709.51","10.25M","1.26%"
"10/14/2025","708.65","707.78","715.55","699.33","8.83M","-0.99%"
"10/13/2025","715.70","713.01","719.94","707.64","9.25M","1.47%"
"10/10/2025","705.30","730.92","735.27","704.51","16.98M","-3.85%"
"10/09/2025","733.51","718.28","733.51","712.44","12.72M","2.18%"
"10/08/2025","717.84","713.45","719.65","707.81","10.79M","0.67%"
"10/07/2025","713.08","717.72","718.50","705.75","12.06M","-0.36%"
