"Date","Price","Open","High","Low","Vol.","Change %"
"12/05/2025","483.16","482.52","483.40","478.88","22.61M","0.48%"
"12/04/2025","480.84","479.76","481.32","476.49","22.32M","0.65%"
"12/03/2025","477.73","476.32","484.24","475.20","34.62M","-2.50%"
"12/02/2025","490.00","486.71","493.50","486.32","19.56M","0.67%"
"12/01/2025","486.74","488.43","489.86","484.65","23.96M","-1.07%"
"11/28/2025","492.01","487.60","492.63","486.65","14.39M","1.34%"
"11/26/2025","485.50","486.31","488.31","481.20","25.71M","1.78%"
"11/25/2025","476.99","474.07","479.15","464.89","28.02M","0.63%"
"11/24/2025","474.00","475.00","476.90","468.02","34.42M","0.40%"
"11/21/2025","472.12","478.50","478.92","468.27","31.77M","-1.32%"
"11/20/2025","478.43","492.71","493.57","475.50","26.80M","-1.78%"
"11/19/2025","487.12","490.10","495.19","482.83","23.25M","-1.35%"
"11/18/2025","493.79","495.36","502.98","486.78","33.82M","-2.70%"
"11/17/2025","507.49","508.45","512.12","504.91","19.09M","-0.53%"
"11/14/2025","510.18","498.23","511.60","497.44","28.51M","1.37%"
"11/13/2025","503.29","510.31","513.50","501.29","25.27M","-1.54%"
"11/12/2025","511.14","509.36","511.67","499.12","26.57M","0.48%"
"11/11/2025","508.68","504.80","509.60","502.35","17.98M","0.53%"
"11/10/2025","506.00","500.04","506.85","498.80","26.10M","1.85%"
"11/07/2025","496.82","496.95","499.38","493.25","24.02M","-0.06%"
"11/06/2025","497.10","505.66","505.70","495.81","27.41M","-1.98%"
"11/05/2025","507.16","513.30","514.83","506.58","23.02M","-1.39%"
"11/04/2025","514.33","511.76","515.55","507.84","20.96M","-0.52%"
"11/03/2025","517.03","519.80","524.96","514.59","22.37M","-0.15%"
"10/31/2025","517.81","528.88","529.32","515.10","34.01M","-1.51%"
"10/30/2025","525.76","530.48","534.97","522.12","41.02M","-2.92%"
"10/29/2025","541.55","544.94","546.27","536.73","36.02M","-0.10%"
"10/28/2025","542.07","550.00","553.72","540.77","29.99M","1.98%"
"10/27/2025","531.52","531.78","534.58","529.01","18.73M","1.51%"
"10/24/2025","523.61","522.79","525.34","520.71","15.53M","0.59%"
"10/23/2025","520.56","522.46","523.95","518.61","14.02M","0.00%"
"10/22/2025","520.54","521.15","525.23","517.71","18.96M","0.56%"
"10/21/2025","517.66","517.50","518.69","513.04","15.59M","0.17%"
"10/20/2025","516.79","514.61","518.70","513.43","14.67M","0.63%"
"10/17/2025","513.58","509.04","515.48","507.31","19.87M","0.39%"
"10/16/2025","511.61","512.58","516.85","508.13","15.56M","-0.35%"
"10/15/2025","513.43","514.96","517.19","510.00","14.69M","-0.03%"
"10/14/2025","513.57","510.23","515.28","506.00","14.68M","-0.09%"
"10/13/2025","514.05","516.41","516.41","511.68","14.28M","0.60%"
"10/10/2025","510.96","519.64","523.58","509.63","24.13M","-2.19%"
"10/09/2025","522.40","522.34","524.33","517.40","18.34M","-0.47%"
"10/08/2025","524.85","523.28","526.95","523.09","13.36M","0.17%"
"10/07/2025","523.98","528.28","529.80","521.44","14.62M","-0.87%"
