"Date","Price","Open","High","Low","Vol.","Change %"
"12/05/2025","455.00","453.03","458.87","451.66","56.43M","0.10%"
"12/04/2025","454.53","449.94","454.63","445.39","71.91M","1.74%"
"12/03/2025","446.74","432.10","447.92","431.11","87.48M","4.08%"
"12/02/2025","429.24","430.81","436.80","422.12","69.34M","-0.21%"
"12/01/2025","430.14","425.32","433.66","425.29","57.46M","-0.01%"
"11/28/2025","430.17","426.59","432.93","426.20","36.25M","0.84%"
"11/26/2025","426.58","423.95","426.94","416.89","63.46M","1.71%"
"11/25/2025","419.40","414.42","420.48","405.95","71.92M","0.39%"
"11/24/2025","417.78","402.17","421.72","401.09","96.81M","6.82%"
"11/21/2025","391.09","402.32","402.80","383.76","100.46M","-1.05%"
"11/20/2025","395.23","414.63","428.94","394.74","113.55M","-2.17%"
"11/19/2025","403.99","406.18","411.78","398.50","72.05M","0.68%"
"11/18/2025","401.25","405.38","408.90","393.71","80.69M","-1.88%"
"11/17/2025","408.92","398.74","423.96","398.74","102.21M","1.13%"
"11/14/2025","404.35","386.30","412.19","382.78","105.51M","0.59%"
"11/13/2025","401.99","423.13","424.50","396.34","118.95M","-6.64%"
"11/12/2025","430.60","442.15","442.33","426.56","58.51M","-2.05%"
"11/11/2025","439.62","439.40","442.49","432.36","60.53M","-1.26%"
"11/10/2025","445.23","439.60","449.67","433.36","76.52M","3.66%"
"11/07/2025","429.52","437.92","439.36","421.88","103.47M","-3.68%"
"11/06/2025","445.91","461.96","467.45","435.09","109.62M","-3.50%"
"11/05/2025","462.07","452.05","466.33","440.71","85.57M","4.01%"
"11/04/2025","444.26","454.46","460.22","443.60","87.76M","-5.15%"
"11/03/2025","468.37","455.99","474.07","453.80","84.60M","2.59%"
"10/31/2025","456.56","446.75","458.00","443.69","83.14M","3.74%"
"10/30/2025","440.10","451.05","455.06","439.61","72.45M","-4.64%"
"10/29/2025","461.51","462.50","465.70","452.65","67.98M","0.21%"
"10/28/2025","460.55","454.77","467.00","451.60","80.19M","1.80%"
"10/27/2025","452.42","439.98","460.16","438.69","105.87M","4.31%"
"10/24/2025","433.72","446.83","451.68","430.17","94.73M","-3.40%"
"10/23/2025","448.98","420.00","449.40","413.90","126.71M","2.28%"
"10/22/2025","438.97","443.45","445.54","429.00","84.02M","-0.82%"
"10/21/2025","442.60","445.76","449.30","442.05","54.41M","-1.08%"
"10/20/2025","447.43","443.86","449.80","440.61","63.72M","1.85%"
"10/17/2025","439.31","425.50","441.46","423.60","89.33M","2.46%"
"10/16/2025","428.75","434.73","439.35","421.31","77.19M","-1.47%"
"10/15/2025","435.15","434.90","440.51","426.33","71.56M","1.38%"
"10/14/2025","429.24","426.79","434.20","417.86","72.67M","-1.53%"
"10/13/2025","435.90","423.53","436.89","419.70","79.55M","5.42%"
"10/10/2025","413.49","436.54","443.13","411.45","112.11M","-5.06%"
"10/09/2025","435.54","431.81","436.35","426.18","69.34M","-0.72%"
"10/08/2025","438.69","437.57","441.33","425.23","71.19M","1.29%"
"10/07/2025","433.09","447.82","452.68","432.45","102.30M","-4.45%"
