iter	MultiClass
0	1.093186454
1	1.087020764
2	1.077886916
3	1.073032366
4	1.067320018
5	1.059292758
6	1.054073013
7	1.046095144
8	1.039535577
9	1.034658517
10	1.025167958
11	1.018620986
12	1.012160875
13	1.006980533
14	1.001911554
15	0.9909903842
16	0.9823434315
17	0.9767297686
18	0.9717514291
19	0.9639736922
20	0.9576265115
21	0.9526259246
22	0.947918941
23	0.9420614171
24	0.9370463896
25	0.9324898198
26	0.9262668277
27	0.9224425795
28	0.9165011377
29	0.9097471019
30	0.9061387015
31	0.9037251765
32	0.8993389299
33	0.8955270494
34	0.8923581078
35	0.8894083721
36	0.8863567729
37	0.8814582097
38	0.8787199215
39	0.8752162664
40	0.8703472085
41	0.8679013697
42	0.863287993
43	0.8596680887
44	0.8564644211
45	0.8533022182
46	0.8500042975
47	0.8487108733
48	0.8456806605
49	0.8423585086
50	0.8371624092
51	0.8339386323
52	0.8317632932
53	0.8289966553
54	0.8272381719
55	0.8249278551
56	0.8216574514
57	0.817561993
58	0.8129152712
59	0.8114325276
60	0.8065774039
61	0.8033598943
62	0.7997209352
63	0.7956896222
64	0.791280806
65	0.7886530995
66	0.7846375523
67	0.7812983757
68	0.7789546701
69	0.7760654741
70	0.7733332602
71	0.7712632505
72	0.7699575957
73	0.7666180653
74	0.7633336415
75	0.7590169172
76	0.7539605522
77	0.7514974785
78	0.7484378593
79	0.7458938264
80	0.7450145826
81	0.7413077739
82	0.738256673
83	0.7349309402
84	0.734445746
85	0.7316634744
86	0.7277723204
87	0.7245589592
88	0.7218244959
89	0.7200777166
90	0.7163525627
91	0.7130972134
92	0.7103788282
93	0.7076655093
94	0.7046183616
95	0.7026047991
96	0.7008722498
97	0.6974218038
98	0.694900521
99	0.6919288329
100	0.6901214918
101	0.6870902573
102	0.6846084447
103	0.6814776273
104	0.6788806566
105	0.6751427438
106	0.6734098993
107	0.6706963166
108	0.6688779856
109	0.6664870426
110	0.6649380991
111	0.6618781019
112	0.6590458945
113	0.6556081422
114	0.6531503484
115	0.6501642422
116	0.6479085947
117	0.6455578838
118	0.6424575683
119	0.6406444351
120	0.6387113596
121	0.6366348543
122	0.6333573032
123	0.6314461224
124	0.6284036263
125	0.6257327901
126	0.6234605789
127	0.6210831466
128	0.6195085335
129	0.6177598102
130	0.616205956
131	0.614134743
132	0.6120131831
133	0.6093274063
134	0.6075105825
135	0.6048983153
136	0.6037304447
137	0.6017905972
138	0.5992096509
139	0.5942767225
140	0.5921758075
141	0.5907978656
142	0.5888121097
143	0.5866254844
144	0.584308064
145	0.5815863078
146	0.5787651076
147	0.5766619067
148	0.5746077717
149	0.5724755055
150	0.5707274235
151	0.5675557684
152	0.5655013245
153	0.5635168313
154	0.5614578267
155	0.5597462423
156	0.5581631248
157	0.5558563265
158	0.5539358203
159	0.5524315139
160	0.5505670297
161	0.5481327385
162	0.5464844096
163	0.5445164304
164	0.543219753
165	0.5404917615
166	0.5380573764
167	0.5362106729
168	0.5347550795
169	0.5325710465
170	0.5306588061
171	0.5293812378
172	0.5273886912
173	0.5256974331
174	0.5231675667
175	0.520942472
176	0.5186097063
177	0.5168565276
178	0.5149149214
179	0.5126711598
180	0.5098213731
181	0.5074652976
182	0.5058338111
183	0.5042616832
184	0.5025557344
185	0.4999529322
186	0.4984900926
187	0.4965198457
188	0.4944081186
189	0.4920631955
190	0.4893908972
191	0.4873101888
192	0.4856449756
193	0.4843625708
194	0.4813771409
195	0.4799755536
196	0.4782403481
197	0.4771465234
198	0.4751488788
199	0.4731246174
200	0.4716859642
201	0.4692585793
202	0.4667599837
203	0.4652365139
204	0.4639317926
205	0.4621867325
206	0.4604666917
207	0.458919547
208	0.4570997607
209	0.4557591043
210	0.4545998303
211	0.4526244821
212	0.4502933291
213	0.4485390391
214	0.4468125084
215	0.445404422
216	0.4436195139
217	0.4416777001
218	0.4403933579
219	0.4394977305
220	0.4387112927
221	0.4370720884
222	0.4360022065
223	0.4341198532
224	0.4333339971
225	0.4322154271
226	0.431134749
227	0.4294212657
228	0.4280573405
229	0.4265461263
230	0.4250334566
231	0.4233694453
232	0.421130144
233	0.4201074101
234	0.418543029
235	0.4173729086
236	0.4158692571
237	0.4146934779
238	0.4139062497
239	0.4120981099
240	0.4110147354
241	0.4098828291
242	0.4083075506
243	0.4064706634
244	0.4041799135
245	0.4023251594
246	0.4011265881
247	0.4003776059
248	0.3992785579
249	0.3979594141
250	0.3968488739
251	0.3954806422
252	0.3948592236
253	0.3933914762
254	0.391640296
255	0.3903428077
256	0.3887045298
257	0.3877075072
258	0.3866491393
259	0.3849400258
260	0.3835529985
261	0.3824484293
262	0.3814815266
263	0.3800892404
264	0.3789836687
265	0.3776768677
266	0.3759721846
267	0.3749905511
268	0.3737478118
269	0.3731695941
270	0.3722878311
271	0.3716453283
272	0.370807484
273	0.3692788928
274	0.3676268729
275	0.3664542458
276	0.3646801316
277	0.3636554034
278	0.3624788791
279	0.3614342129
280	0.3600671874
281	0.3587611456
282	0.3579644539
283	0.3568470066
284	0.3558858783
285	0.3549986467
286	0.3539582985
287	0.3529273483
288	0.3521413141
289	0.3511932159
290	0.349374107
291	0.3482844863
292	0.3474600416
293	0.3467348894
294	0.3461838523
295	0.3454921148
296	0.3445555194
297	0.3433127283
298	0.3427203206
299	0.341692429
