iter	Passed	Remaining
0	93	27992
1	178	26564
2	232	23047
3	288	21356
4	344	20323
5	401	19674
6	458	19206
7	516	18857
8	576	18632
9	638	18507
10	705	18526
11	764	18355
12	828	18292
13	890	18187
14	946	17989
15	1004	17822
16	1064	17726
17	1127	17671
18	1200	17748
19	1263	17690
20	1326	17620
21	1388	17551
22	1446	17425
23	1504	17300
24	1561	17175
25	1618	17056
26	1678	16972
27	1738	16892
28	1799	16816
29	1859	16738
30	1921	16669
31	1983	16610
32	2039	16501
33	2096	16399
34	2153	16307
35	2212	16227
36	2269	16131
37	2327	16044
38	2383	15948
39	2440	15862
40	2497	15779
41	2555	15697
42	2611	15608
43	2669	15534
44	2727	15458
45	2786	15387
46	2844	15313
47	2908	15268
48	2970	15216
49	3030	15153
50	3091	15092
51	3153	15040
52	3210	14962
53	3269	14894
54	3326	14819
55	3384	14745
56	3443	14680
57	3500	14606
58	3559	14538
59	3616	14464
60	3673	14392
61	3729	14316
62	3785	14239
63	3842	14170
64	3902	14110
65	3962	14047
66	4022	13987
67	4083	13930
68	4140	13860
69	4202	13806
70	4261	13746
71	4319	13679
72	4376	13610
73	4433	13541
74	4491	13475
75	4548	13406
76	4609	13349
77	4666	13280
78	4721	13208
79	4777	13137
80	4832	13065
81	4890	13001
82	4947	12935
83	5005	12872
84	5061	12803
85	5118	12737
86	5177	12676
87	5237	12617
88	5298	12560
89	5361	12509
90	5426	12462
91	5483	12398
92	5540	12333
93	5599	12272
94	5657	12207
95	5713	12140
96	5773	12081
97	5835	12027
98	5900	11979
99	5961	11923
100	6017	11856
101	6075	11793
102	6138	11739
103	6199	11684
104	6264	11634
105	6336	11596
106	6418	11576
107	6490	11537
108	6554	11485
109	6620	11436
110	6681	11376
111	6746	11324
112	6808	11267
113	6871	11210
114	6928	11146
115	6989	11087
116	7051	11029
117	7113	10971
118	7169	10905
119	7224	10837
120	7279	10768
121	7337	10705
122	7399	10647
123	7464	10595
124	7531	10543
125	7594	10487
126	7660	10435
127	7723	10378
128	7781	10315
129	7838	10250
130	7899	10190
131	7960	10131
132	8023	10074
133	8081	10010
134	8138	9947
135	8194	9881
136	8250	9815
137	8307	9752
138	8365	9689
139	8420	9623
140	8479	9562
141	8543	9505
142	8606	9448
143	8672	9395
144	8735	9338
145	8797	9279
146	8858	9220
147	8917	9158
148	8975	9096
149	9034	9034
150	9090	8970
151	9147	8907
152	9205	8844
153	9266	8785
154	9328	8726
155	9389	8666
156	9449	8606
157	9513	8550
158	9574	8490
159	9638	8433
160	9703	8377
161	9762	8316
162	9824	8256
163	9885	8197
164	9948	8139
165	10015	8084
166	10079	8027
167	10142	7969
168	10200	7906
169	10262	7847
170	10324	7788
171	10389	7731
172	10448	7670
173	10506	7608
174	10564	7546
175	10626	7487
176	10689	7428
177	10752	7369
178	10811	7308
179	10875	7250
180	10948	7198
181	11017	7143
182	11082	7085
183	11148	7028
184	11207	6966
185	11266	6905
186	11323	6842
187	11381	6780
188	11438	6717
189	11498	6657
190	11557	6595
191	11622	6537
192	11678	6474
193	11734	6411
194	11789	6348
195	11845	6285
196	11899	6221
197	11956	6159
198	12011	6096
199	12069	6034
200	12130	5974
201	12190	5914
202	12252	5854
203	12314	5794
204	12372	5733
205	12430	5671
206	12488	5610
207	12544	5548
208	12601	5486
209	12657	5424
210	12714	5362
211	12771	5301
212	12829	5240
213	12886	5178
214	12941	5116
215	12998	5055
216	13055	4993
217	13113	4932
218	13171	4871
219	13230	4811
220	13291	4751
221	13350	4690
222	13411	4630
223	13469	4569
224	13526	4508
225	13584	4447
226	13640	4386
227	13699	4326
228	13755	4264
229	13812	4203
230	13868	4142
231	13924	4081
232	13981	4020
233	14039	3959
234	14095	3898
235	14151	3837
236	14207	3776
237	14264	3715
238	14322	3655
239	14385	3596
240	14447	3536
241	14509	3477
242	14572	3418
243	14630	3357
244	14688	3297
245	14746	3236
246	14800	3175
247	14855	3114
248	14909	3053
249	14966	2993
250	15022	2932
251	15078	2872
252	15134	2811
253	15191	2751
254	15247	2690
255	15304	2630
256	15362	2570
257	15418	2509
258	15481	2450
259	15541	2390
260	15599	2331
261	15660	2271
262	15719	2211
263	15775	2151
264	15835	2091
265	15892	2031
266	15951	1971
267	16011	1911
268	16079	1853
269	16142	1793
270	16200	1733
271	16256	1673
272	16311	1613
273	16368	1553
274	16426	1493
275	16483	1433
276	16540	1373
277	16601	1313
278	16663	1254
279	16724	1194
280	16784	1134
281	16843	1075
282	16902	1015
283	16958	955
284	17015	895
285	17074	835
286	17134	776
287	17191	716
288	17248	656
289	17305	596
290	17364	537
291	17421	477
292	17476	417
293	17533	357
294	17589	298
295	17646	238
296	17704	178
297	17765	119
298	17826	59
299	17885	0
